"trip_id","start_time","end_time","bikeid","tripduration","from_station_id","from_station_name","to_station_id","to_station_name","usertype","gender","birthyear","ride_length","day_of_week","month","start_hour","end_hour","tripduration_mins","duration_diff","hour","weekday","route_count"
25874375,2019-12-12 17:14:32,2019-12-12 17:22:30,4655,477,426,"Ellis Ave & 60th St",345,"Lake Park Ave & 56th St","Customer","unknown","NA",7.96666666666667,"Thursday","Dec","17","17",7.95,0.0166666666666666,17,"Thu",278
25874601,2019-12-12 17:27:58,2019-12-12 17:33:28,5161,329,432,"Clark St & Lunt Ave",520,"Greenview Ave & Jarvis Ave","Customer","Male","1988",5.5,"Thursday","Dec","17","17",5.48333333333333,0.0166666666666666,17,"Thu",116
25877774,2019-12-13 08:06:36,2019-12-13 08:10:22,2785,225,644,"Western Ave & Fillmore St (*)",382,"Western Ave & Congress Pkwy","Customer","Male","1995",3.76666666666667,"Friday","Dec","08","08",3.75,0.0166666666666666,8,"Fri",161
25878093,2019-12-13 08:26:59,2019-12-13 08:30:20,5980,200,119,"Ashland Ave & Lake St",656,"Damen Ave & Walnut (Lake) St (*)","Customer","Male","1988",3.35,"Friday","Dec","08","08",3.33333333333333,0.0166666666666666,8,"Fri",128
25878113,2019-12-13 08:28:26,2019-12-13 08:35:14,70,407,479,"Drake Ave & Montrose Ave",489,"Drake Ave & Addison St","Customer","unknown","NA",6.8,"Friday","Dec","08","08",6.78333333333333,0.0166666666666666,8,"Fri",292
25878394,2019-12-13 08:45:12,2019-12-13 08:50:14,2395,301,236,"Sedgwick St & Schiller St",364,"Larrabee St & Oak St","Customer","unknown","NA",5.03333333333333,"Friday","Dec","08","08",5.01666666666667,0.0166666666666666,8,"Fri",103
25882809,2019-12-13 17:37:21,2019-12-13 17:44:34,2896,432,210,"Ashland Ave & Division St",305,"Western Ave & Division St","Customer","Male","1994",7.21666666666667,"Friday","Dec","17","17",7.2,0.0166666666666666,17,"Fri",728
25882870,2019-12-13 17:42:22,2019-12-13 17:50:11,5852,468,185,"Stave St & Armitage Ave",506,"Spaulding Ave & Armitage Ave","Customer","unknown","NA",7.81666666666667,"Friday","Dec","17","17",7.8,0.0166666666666666,17,"Fri",104
25882982,2019-12-13 17:52:39,2019-12-13 17:59:26,3623,406,197,"Michigan Ave & Madison St",174,"Canal St & Madison St","Customer","unknown","NA",6.78333333333333,"Friday","Dec","17","17",6.76666666666667,0.0166666666666666,17,"Fri",819
25891938,2019-12-16 08:03:18,2019-12-16 08:09:07,144,348,453,"Clark St & Schreiber Ave",432,"Clark St & Lunt Ave","Customer","Male","1982",5.81666666666667,"Monday","Dec","08","08",5.8,0.0166666666666666,8,"Mon",110
25895199,2019-12-16 17:25:08,2019-12-16 17:30:22,3237,313,412,"Princeton Ave & 47th St",409,"Shields Ave & 43rd St","Customer","Male","1999",5.23333333333333,"Monday","Dec","17","17",5.21666666666667,0.0166666666666666,17,"Mon",7
25898069,2019-12-17 08:02:52,2019-12-17 08:06:32,6060,219,644,"Western Ave & Fillmore St (*)",382,"Western Ave & Congress Pkwy","Customer","Male","1995",3.66666666666667,"Tuesday","Dec","08","08",3.65,0.0166666666666666,8,"Tue",161
25902070,2019-12-17 17:58:50,2019-12-17 18:04:47,788,356,117,"Wilton Ave & Belmont Ave",299,"Halsted St & Roscoe St","Customer","unknown","NA",5.95,"Tuesday","Dec","17","18",5.93333333333333,0.0166666666666666,17,"Tue",1090
25912170,2019-12-19 17:12:19,2019-12-19 17:18:56,6128,396,478,"Rockwell St & Eastwood Ave",472,"Lincoln Ave & Winona St","Customer","Female","1985",6.61666666666667,"Thursday","Dec","17","17",6.6,0.0166666666666666,17,"Thu",56
25912663,2019-12-19 17:48:35,2019-12-19 17:56:00,3544,444,90,"Millennium Park",174,"Canal St & Madison St","Customer","unknown","NA",7.41666666666667,"Thursday","Dec","17","17",7.4,0.0166666666666666,17,"Thu",517
25914979,2019-12-20 08:00:13,2019-12-20 08:03:52,1977,218,153,"Southport Ave & Wellington Ave",115,"Sheffield Ave & Wellington Ave","Customer","Male","1995",3.65,"Friday","Dec","08","08",3.63333333333333,0.0166666666666666,8,"Fri",1563
25918777,2019-12-20 17:14:54,2019-12-20 17:22:14,1048,439,185,"Stave St & Armitage Ave",506,"Spaulding Ave & Armitage Ave","Customer","unknown","NA",7.33333333333333,"Friday","Dec","17","17",7.31666666666667,0.0166666666666666,17,"Fri",104
25918789,2019-12-20 17:16:21,2019-12-20 17:24:16,4158,474,16,"Paulina Ave & North Ave",17,"Honore St & Division St","Customer","Male","1976",7.91666666666667,"Friday","Dec","17","17",7.9,0.0166666666666666,17,"Fri",121
25919218,2019-12-20 17:56:25,2019-12-20 18:00:29,4506,243,344,"Ravenswood Ave & Lawrence Ave",325,"Clark St & Winnemac Ave","Customer","Male","1988",4.06666666666667,"Friday","Dec","17","18",4.05,0.0166666666666666,17,"Fri",1304
25929244,2019-12-23 08:24:33,2019-12-23 08:29:25,6200,291,107,"Desplaines St & Jackson Blvd",287,"Franklin St & Monroe St","Customer","Male","1995",4.86666666666667,"Monday","Dec","08","08",4.85,0.0166666666666666,8,"Mon",253
25934515,2019-12-24 08:12:45,2019-12-24 08:17:14,5823,268,467,"Western Ave & Lunt Ave",432,"Clark St & Lunt Ave","Customer","unknown","NA",4.48333333333333,"Tuesday","Dec","08","08",4.46666666666667,0.0166666666666666,8,"Tue",339
25937006,2019-12-24 17:51:42,2019-12-24 17:58:49,2956,426,35,"Streeter Dr & Grand Ave",35,"Streeter Dr & Grand Ave","Customer","unknown","NA",7.11666666666667,"Tuesday","Dec","17","17",7.1,0.0166666666666666,17,"Tue",642
25937007,2019-12-24 17:51:54,2019-12-24 17:58:48,361,413,35,"Streeter Dr & Grand Ave",35,"Streeter Dr & Grand Ave","Customer","unknown","NA",6.9,"Tuesday","Dec","17","17",6.88333333333333,0.0166666666666666,17,"Tue",642
25939308,2019-12-25 17:01:37,2019-12-25 17:09:21,1704,463,35,"Streeter Dr & Grand Ave",35,"Streeter Dr & Grand Ave","Customer","unknown","NA",7.73333333333333,"Wednesday","Dec","17","17",7.71666666666667,0.0166666666666666,17,"Wed",642
